Cluster	HADDOCK Score	Cluster Size	RMSD	VdW Energy	Electrostatic Energy	Desolvation Energy	Restraints Violation Energy	Buried Surface Area	Z-Score
361	-178.5	1	0.0	-33.2	-884.9	31.7	0.1	2728.8	-2.4
360	-162.0	1	26.3	-57.1	-587.0	12.5	0.1	2591.5	-1.2
359	-148.1	1	25.9	-23.7	-727.5	21.1	0.1	2543.9	-0.2
358	-141.6	3	26.2	-25.5	-720.9	28.0	0.1	2345.3	0.3
357	-140.4	1	25.9	-13.3	-767.5	26.0	0.1	2620.0	0.3
356	-139.2	1	26.4	-30.7	-630.9	17.7	0.1	2349.0	0.4
355	-137.9	1	25.5	-35.2	-578.4	13.0	0.1	2334.9	0.5
33	-132.6	2	4.2	-32.7	-582.5	16.5	0.1	2072.5	0.9
32	-130.7	2	25.9	-11.6	-726.5	26.2	0.0	2304.8	1.0
